,title,salary,jobtype,location,description
961,"QlikView, Qlik Sense Developer",,100% Remote Job,"MI, IN, KY, TN, GA, FL, OH, NC, SC, WV, VA, PA, DC, CT, NJ, NY, RI, NH, ME, MD, DE, VT, ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, WI, IL, MS, AL","
            Full-time, remote position. Responsibilities include supporting <b>data</b> management &amp; reporting needs, creating meaningful &amp; accurate analyses, reports, &amp; <b>data</b> visualizations, contributing to process improvements, and troubleshooting &amp; resolving issues.
        "
962,Curriculum Coordinator,,100% Remote Job,US National,"
            Remote role. Requires BA. Develop curriculum for summer high-school student program on <b>data</b> literacy and communications topics, construct web pages and online tools, and support students with projects. $36/hr. Temporary, part-time position.
        "
963,Senior Software Engineer - Payments Team,,Option for Remote Job,US National,"
            Senior engineer needed for a remote option position requiring a <b>science</b> or engineering BA/BS, five+ years' development experience, a strong understanding of Agile methods, and familiarity conducting tests. Will write and verify code, conduct tests.
        "
964,Full-Stack Web Developer,,Option for Remote Job,"Washington, DC","
            Remote, full-time. Build productivity applications and <b>data</b> tools, design product roadmaps, and analyze <b>data</b> security for organization. Requires knowledge of programming, HTML, CSS, JavaScript, and strong communication skills.
        "
965,Product Specialist,,Remote - During Pandemic Job,"Santa Clara, CA","
            Remote in pandemic. Develop curriculum and promote sales of products, collect and analyze marketing <b>data</b>, provide training to teams, and support product development efforts. Requires BA, 1+ year product management experience, and Chinese fluency.
        "
966,"Product Manager, Recommendations",,Remote - During Pandemic Job,"San Francisco, CA, Lehi, UT","
            Remote in pandemic. Utilize user <b>data</b> to make product recommendations, support feature enhancements, maintain relationship with business contacts, and maintain machine learning systems. Requires 4+ years' technical development experience.
        "
967,Senior Director of Research,,Partial Remote Job,US National,"
            Partial remote. Establish &amp; oversee research strategy, analyze <b>data</b> and ensure adherence to timelines, maintain relationship with stakeholders, and ensure <b>data</b> collection is accurate. Requires 10 years' experience, and knowledge of research methods.
        "
968,"Director, Senior Product Manager",,Remote - During Pandemic Job,"New York, NY","
            Full-time job, Remote during pandemic. Needs bachelors' degree and expertise with online fraud. Deal with vast amounts of <b>data</b>, draw conclusions and product features by finding global correlations and patterns in <b>data</b>, plan and release product updates.
        "
969,Qlik Developer,,100% Remote Job,"ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, WI, IL, KY, MS, AL, MI, IN, TN, GA","
            Remote Qlik developer needed to assist with the analytical reporting needs of the business. Bachelor's degree, 3 years of <b>data</b> reporting and analysis experience using QlikView and/or QlikSense, &amp; exp in extract, transform, and loading process of <b>data</b> req.
        "
970,Protocol Engineer,,100% Remote Job,Work from Anywhere,"
            Remote role. Design software products for cryptocurrency site, gather project requirements and maintain internal documentation, validate designs and prototypes, and support new product implementation. Requires BA and knowledge of <b>data</b> engineering.
        "
971,"Senior Manager, Information Security",,Partial Remote Job,"Charlotte, NC, Corning, NY","
            Full-time, partially remote position. Responsibilities include managing a team, providing support, guidance, &amp; <b>data</b> classification, documenting, communicating, &amp; executing a <b>data</b> classification strategy, and reporting on implementation &amp; status.
        "
972,Senior Research Analyst,,Partial Remote Job,"San Francisco, CA, Boston, MA, New York, NY, London, United Kingdom","
            Remote position will conduct focused research on the <b>data</b> platforms sector, engage in briefings with key vendors, attend events focused on <b>data</b>, write research reports, and contribute to development of surveys. Need five years of experience.
        "
973,Director of IT,,100% Remote Job,US National,"
            Director of IT needed for a full-time, remote position requriing a computer <b>science</b> or related BA/BS, exceptional communication skills, strong leadership ability, and ten+ years' IT experience. Will build and lead teams, generate plans.
        "
974,Principal Engineer,,100% Remote Job,"Canada, or US National","
            Seeking a principal engineer for a full-time, flexible, remote position requiring a computer <b>science</b> or related college degree, SQL proficiency, experience working with production application development and automated testing. Will assist development.
        "
975,"Staff Product Manager, Developer Experience",,Option for Remote Job,US National,"
            Own all development phases, collaborate with engineering, improve upon drivers/ORMs and SDKs and engage with marketing, sales and the developer community to identify opportunities for partnership. A computer <b>science</b> degree is req'd. Remote option.
        "
