,company,description,location,salary,title
1038,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
1039,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
1040,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
1041,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
1042,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
1043,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
1044,HP,Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,"Alpharetta, GA",,Global Head Search and Marketing Returns Analytics
1045,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
1046,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
1047,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
1048,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
1049,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
1050,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
1051,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
1052,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
1053,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
1054,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
1055,HP,Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,"Alpharetta, GA",,Global Head Search and Marketing Returns Analytics
1056,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
1057,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
1058,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
1059,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
1060,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
1061,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
1062,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
1063,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
1064,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
